english,chinese,category
ambitious,α.有雄心的；有抱负的,六级
amplify,v. 放大；增强,雅思
analogy,n. 相似；模拟；类比,六级
analyze,v. 分析；解析,雅思
ancient,adj.远古的；旧的,雅思
annoy,v. 惹恼；烦扰,雅思
anticipate,v. 预期；预料,雅思
anticipate,v. 预期,六级
anticipation,n. 预期；期望,六级
appeal,v. 呼吁；吸引,雅思
appeal,n./vi. 呼吁；恳求,四级
applaud,v. 赞扬；称赞,六级
appoint,vt. 任命；委派,四级
appreciate,v. 感激；欣赏,雅思
appreciate,vt. 重视；赏识；欣赏,四级
appreciation,n. 感谢；感激,六级
approach,v. 靠近；接近; n. 途径；方式,四级
appropriate,adj. 适当的；恰当的,雅思
appropriate,a. 适当的,四级
appropriate,α.合适的；恰当的,六级
approve,v. 赞成；同意；批准,四级
approximate,a. 大概的；大约; v. 近似,四级
arbitrary,a. 随意的；未断的,四级
architect,n. 建筑师,四级
architecture,n. 建筑学,四级
arise,vi. 产生；出现；发生；起身,四级
arithmetic,n. 算术,四级
arouse,vt. 引起；激起；唤醒,四级
array,n. 陈列；一系列,六级
ascend,v. 上升；攀登,六级
ascribe,v. 归因于；归功于,六级
aspect,n. 方面；朝向；面貌,四级
assemble,v. 集合；聚集,六级
assess,v. 评估；评定,雅思
assign,v. 分派；指派(职务；任务),六级
assurance,n. 保证,六级
attach,vt. 系；贴；使附属,四级
attitude,n. 态度,四级
attract,v. 吸引；引起,雅思
attribute,v. 归因于,六级
audio,a. 听觉,四级
authentic,α.可靠的；可信的,六级
authority,n. 权威；当局,四级
authorize,v. 授权；批准,雅思
automatic,a. 自动的,四级
auxiliary,a. 辅助的；备用的,四级
available,a. 现成可用的；可得到的,四级
avenue,n. 林荫道；大街,四级
average,α.一般的；普通的,六级
award,vt. 授予；判给; n. 奖品；奖金,四级
aware,a. 意识到,四级
awful,a. 极坏的；威严的；可怕的,四级
awkward,a. 笨拙的；棘手的,四级
bachelor,n. 学士；学士学位；单身汉,四级
bacteria,n. 细菌,四级
balcony,n. 阳台,四级
ban,vt. 取缔；禁止,四级
bargain,n. 便宜货 vi. 讨价还价,四级
barrel,n. 桶,四级
barren,α.贫瘠的；不毛的,六级
barrier,n. 障碍；棚栏,四级
base,v. 建立在……的基础上,六级
battery,n. 电池（组）,四级
beforehand,ad. 预先；事先,四级
benefit,n. 益处；好处,雅思
bewilder,v. 迷惑；弄糊涂,六级
biology,n. 生物学,四级
blame,n. 责任,六级
blast,n. 爆炸；气流 vi. 炸；炸掉,四级
blunder,n. 错误；大错,六级
blur,v. 使模糊不清,雅思
boast,v. 自夸；吹嘘,雅思
bother,v. 打搅；麻烦,四级
bound,α.一定的,六级
boundary,n. 分界线；边界,四级
brake,n. 刹车；制动器 v. 刹住（车）,四级
breed,n. 种；品种 v. 繁殖；产仔,四级
breed,v. 培育；养育,六级
brief,adj. 简短的；简洁的,雅思
broaden,v. 扩展；拓宽,雅思
budget,n. 预算 v. 编预算；作安排,四级
budget,n. 预算,六级
bunch,n. 群；伙；束；串,四级
bundle,n. 捆；包；束; vt. 收集；归拢,四级
burden,n. 重担；负荷,四级
bureau,n. 局；办事处,四级
bureaucracy,n. 官僚主义,雅思
burst,vi.n. 突然发生；爆裂,四级
calculate,vt. 计算；核算,四级
calendar,n. 日历；月历,四级
calibrate,v. 校准；调整,雅思
campus,n. 校园,四级
cancel,vt. 取消；废除,四级
candidate,n. 候选人,四级
capability,n. 能力；才能,六级
capable,adj. 有能力的；能干的,雅思
capture,vt. 俘虏；捕获,四级
career,n. 生涯；职业,四级
cargo,n. （船、飞机等装载的）货物,四级
cash,n. 现金,六级
casual,a. 偶然的；碰巧的；临时的；非正式的,四级
catalog,n. 目录（册） v. 编目,四级
ceremony,n. 典礼；仪式,四级
chronic,α.慢性的,六级
chronic,adj. 慢性的；长期的,雅思
circulation,n. (书报等的)发行量,六级
cite,v. 引用；提到,雅思
clarify,v. 澄清；阐明,雅思
cliff,n. 悬崖；峭壁,四级
cling,v. 坚守；抱紧,六级
clue,n. 线索；提示,四级
coach,n. 教练；长途公共汽车,四级
coarse,a. 粗的；粗糙的；粗劣的,四级
code,n. 准则；法规；密码,四级
coherent,adj. 一致的；连贯的,雅思
coil,n. 线圈 v. 卷；盘绕,四级
coincide,v. 相同；相一致,六级
collaborate,v. 合著；合作,六级
collaborate,v. 合作；协作,雅思
collect,v.收集；集中,雅思
collection,n.收藏； 搜集品； 捐款,雅思
collective,adj.集体的 n.集体,雅思
collector,n.收藏家； 征收者,雅思
collide,v. 互撞；碰撞,六级
collision,n. 碰撞；冲突,四级
column,n. 柱；圆柱；栏；专栏,四级
comedy,n. 喜剧,四级
commence,v. 开始,六级
comment,n./vt. 评论,四级
commentary,α. 实况报道,六级
commit,vt. 犯（错误；罪行等）；干（坏事等）,四级
commitment,n. 承诺；许诺,六级
community,n. 社区；社会,四级
compact,α.紧凑的；小巧的,六级
comparable,a. (with to) 可比较的；类似的,四级
comparative,a. 比较的；相对的,四级
compensate,v. 补偿；赔偿,六级
compensation,n. 补偿；赔偿,六级
compete,vi. 竞争；比赛,四级
competent,a. 有能力的；能胜任的,四级
competition,n. 竞争；比赛,四级
competitive,α.竞争性的；具有竞争力的,六级
complement,v. 与……结合；补充,六级
comply,v. 遵守,六级
comprehend,v. 理解；领会,雅思
compulsory,α. 强迫的；强制的；义务的,六级
conceive,v. 想出；设想,六级
concern,v. 涉及,六级
conclude,v. 结束；推断,雅思
condense,v. 压缩；浓缩,六级
confident,adj. 自信的；确信的,雅思
confidential,α. 机密的；秘密的,六级
conflict,v. 冲突；战争,六级
conform,v. 遵守；符合,雅思
conform,v. 符合；遵守；适应,六级
confront,v. 面对；面临,六级
conservative,α. 保守的；传统的,六级
conserve,v. 保护；保存,六级
consideration,n. 考虑,六级
consistent,α. 和……一致,六级
consistent,a. 坚固定；一致的；始终如一的,四级
consolidate,v. 巩固,六级
conspicuous,α. 显而易见的；引人注目的,六级
constant,a. 不变的；恒定的; n. 常数,四级
constitution,n. 组成；构成,六级
consultant,n. 顾问,六级
consume,v. 消耗；耗尽,四级
continual,a. 不断地；频繁的,四级
continuous,a. 继续的；连续（不断）的,四级
contribute,v. 贡献；捐助,雅思
controversy,n. 争论；辩论,六级
convey,v. 表达；传达,六级
convince,v. 说服；使信服,雅思
cooperate,v. 合作；协作,雅思
cope,vi. (with)（成功地）应付；处理,四级
core,n. 果心；核心,四级
correlate,v. 使相关；联系,雅思
counter,v. 反击；反对,雅思
crash,v. (飞机)坠毁,六级
critique,v. 批评；评论,雅思
crucial,α. 关键的,六级
crucial,adj.至关紧要的,雅思
cruise,v. 航行；漫游,六级
current,α. 当前的,六级
damage,n. 损坏,六级
dash,vi. 猛冲；飞奔,四级
data,n. 数据；资料,四级
dazzle,v. 使眩目；耀眼,六级
deaf,a. 聋的；不愿听的,四级
deal,n.交易 vi.处理； 做生意 vt.分配； 分给(out),雅思
dealing,n.行为； 交易,雅思
debate,n./v. 辩论；争论,四级
debate,n. 争论；辩论,六级
debt,n. 欠债,四级
decade,n. 十年,四级
decay,vi. 腐烂；腐朽,四级
deceive,v. 欺骗；哄骗,六级
decent,a. 像样的；体面的,四级
decent,α. 体面的；像样的；还不错的,六级
decline,v. 下降；减少,六级
decline,v. 拒绝；谢绝；下降,四级
decorate,vt. 装饰；装璜,四级
dedicate,v. 奉献；献身；致力于,六级
defend,v. 为……辩护,六级
defy,v. 违抗；藐视,六级
defy,v. 违抗；藐视,六级
delay,vt./n. 推迟；延误；耽搁,四级
deliberately,ad. 深思熟虑地；审慎地,六级
deliberately,ad. 故意；有意地,六级
delicate,α. 精细的；微妙的；精心处理的,六级
denial,n. 否认；否定；拒绝给与(正义；权利),六级
deny,v. 否认,六级
deny,v. 否认,六级
deprive,v. 剥夺,六级
deprive,v. 剥夺,六级
deprive,v. 剥夺；夺去,雅思
derive,v. 得到；源自,雅思
derive,v. 得来；得到,六级
derive,v. 得来；得到,六级
descend,v. 下落,六级
descend,v. 下来；下去,六级
descend,v. 下落,六级
descend,v. 下来；下去,六级
deserve,v. 值得,六级
deserve,vt. 应受；应得；值得,四级
deserve,v. 值得,六级
destructive,α. 毁灭的,六级
detail,n.细节； 详情 vt.详述,雅思
deter,v. 威慑；阻止,雅思
deviate,v. (使)背离；(使)偏离,六级
deviate,v. (使)背离；(使)偏离,六级
device,n. 装置；设备,四级
devise,vt. 发明；策划；想出,四级
digest,n. 摘要；简编,六级
dilemma,n. 窘境；困境,六级
diminish,v. 减少；缩小,雅思
discipline,n. 纪律；惩罚；学科,四级
discrimination,n. 歧视；辨别力,四级
disguise,v. 假扮；伪装,六级
disguise,v. 假扮；伪装,六级
dispose,vi. 除掉；处置；解决；处理(of),四级
distinction,n. 区分；辨别,六级
distinguish,vt. 区分；辨别,四级
distinguish,v. 区分；辨别,雅思
distress,n. 痛苦；悲伤; vt. 使痛苦,四级
distribute,vt. 分发,四级
disturb,vt. 打搅；妨碍,四级
dive,vi. 跳水；潜水,四级
diverse,a. 不同的；多种多样的,四级
domestic,a. 本国的；国内的；家用的；家庭的,四级
dominate,v. 统治；占据,六级
dominate,v. 统治；占据,六级
dominate,v. 统治；支配,雅思
drain,v. 渐渐耗尽,六级
drain,v. 渐渐耗尽,六级
drift,v. 漂移；漂流,雅思
dumb,a. 哑的；沉默的,四级
dump,vt. 倾卸；倾倒,四级
duplicate,v. 复制；重复,六级
duplicate,v. 复制；重复,六级
duration,n. 持续时间,雅思
economic,α. 经济的,六级
electrical,adj.电的； 有关电的,雅思
electricity,n.电； 电学,雅思
electron,n.电子,雅思
electronic,adj.电子的,雅思
elegant,α. 优雅的；优美的；精致的,六级
eliminate,v. 消除,六级
eliminate,v. 消除；淘汰,雅思
eliminate,v. 消除,六级
embarrassing,α. 令人尴尬的,六级
emergency,n. 紧急情况,六级
emotion,n. 情感；感情,四级
emotional,a. 感情的；情绪（上）的,四级
emphasize,vt. 强调；着重,四级
enclose,vt. 围住；把...装入信封,四级
encounter,vt./n. 遭遇；遭到,四级
encouragement,n. 鼓励,六级
endure,v. 忍受；忍耐,六级
endure,v. 忍受；忍耐,六级
energetic,α. 精力充沛的,六级
enhance,v. 提高,六级
enhance,v. 提高,六级
enhance,v. 提高；增加,六级
enhance,v. 提高；增强,雅思
enhance,v. 提高；增加,六级
enroll,v. 使成为……的成员；注册,六级
enroll,v. 使成为……的成员；注册,六级
entertainment,n. 娱乐；招待；款待,四级
enthusiasm,n. 热情；热心,四级
entitle,vt. 给...权利；给...资格,四级
entry,n. 进入；入口处；参赛的人（或物）,四级
environment,n. 环境,四级
episode,n. 插曲；片段,四级
equation,n. 方程（式）,四级
equip,vt.装备,雅思
equipment,n.设备,雅思
equivalent,α. 相等的,六级
essence,n. 本质,六级
estimate,n. 估计,六级
eternal,α. 永恒的；无休止的,六级
evaluate,v. 评估；评价,雅思
evil,a. 邪恶的；坏的,四级
evoke,v. 引起；唤起,六级
evoke,v. 引起；唤起,六级
exaggerate,v. 夸大；夸张,四级
excess,n. 过分；过量；过剩,四级
exchange,vt.交换；交易 n.交换； 交易,雅思
exclaim,v. 呼喊；欢呼,六级
exclaim,v. 呼喊；欢呼,六级
exclude,v. 排除；拒绝,雅思
exclusive,α. 独有的；排他的,六级
exclusively,ad. 仅仅地,六级
expand,v. 扩展；扩张,雅思
expand,vt.详述； 扩大；展开,雅思
expand,v. 扩大；扩张；展开；膨胀,四级
expansion,n. 扩大；扩充；发展；膨胀,四级
expansion,n.扩大； 开展,雅思
expansive,adj.易扩大的；豪爽的,雅思
expel,v. 驱逐；开除；赶出,四级
expend,v. 消费,四级
expenditure,n. 支出；消费；经费,四级
expenditure,n. 开支,六级
expense,n. 开销；费用,四级
expensive,a. 花钱多的；价格高贵的,四级
expire,v. 到期；期满,六级
expire,v. 到期；期满,六级
explicitly,ad. 明确地,六级
explode,v. 爆炸；爆发；激增,四级
exploit,v. 剥削；利用；开采,四级
explore,v. 勘探,四级
explore,v. 探索；调查,雅思
explore,v. 探险；探索,六级
explore,v. 探险；探索,六级
explosion,n. 爆炸；爆发；激增,四级
explosive,a. 爆炸的；极易引起争论的,四级
export,n. 出口（物） v. 出口；输出,四级
extent,n. 程度；范围；大小；限度,四级
exterior,n. 外部；外表 a. 外部的；外表的,四级
external,a. 外部的；外表的；外面的,四级
extinct,a. 绝灭的；熄灭的,四级
extinct,α. 灭绝的；绝种的,六级
extinction,n .灭绝,六级
extraordinary,a. 不平常的；特别的；非凡的,四级
extraordinary,adj.特别的,雅思
extreme,a. 极度的；极端的 n. 极端；过分,四级
facilitate,v. 促进；使容易,雅思
facility,n. [pl.] 设备；设施；便利；方便,四级
fact,n.事实；论据,雅思
factor,n.因素,雅思
factual,adj.事实的； 实际的,雅思
faculty,n. 能力；技能；系；学科；学院；全体教员,四级
fashion,n. 方式；样子,六级
fatal,α. 致命的；毁灭性的,六级
fatal,a. 致命的；重大的,四级
fate,n. 命运,四级
feasible,α. 可行的,六级
feature,n.特征； 容貌 vt.是...特色,雅思
feeble,α. 脆弱的；虚弱的,六级
feed,n.饲料； (动物或婴儿的)一餐 vt.喂养； 靠...为生,雅思
feedback,n. 反馈,雅思
feeding,n.吃； 输送 adj.给食的； 饲用的,雅思
figure,n. 数字；图形；外形 vt.描绘；演算；认为,雅思
flap,v. (鸟)振翅(飞行),六级
flaw,n. 裂纹；瑕疵,六级
focus,v. 集中；聚焦,雅思
focus,v. （使）聚集 n. 焦点；中心；聚焦,四级
follow,v. 遵从,六级
forbid,vt. 不许；禁止,四级
forcibly,ad. 强行地；有力地,六级
formerly,ad. 原先地；以前；从前,六级
formulate,v. 制定；构想,雅思
fortune,n. 财产；大笔的钱,六级
found,v.建立,雅思
foundation,n.基础； 建立； 基金,雅思
founder,n.建立者 vt.使沉没； 失败,雅思
fraction,n. 小部分；一点,六级
fragile,adj.易碎的； 脆的,雅思
function,v. 功能；作用,雅思
fundamental,adj.基础的 n.基本原则； 基本原理,雅思
fundamental,adj. 基本的；根本的,雅思
furnish,v. 配备；装饰,六级
fuse,n. 保险丝,六级
gaze,v. 凝视；注视,六级
gear,v. 使适应；使适合,六级
generate,v. 生成；产生,雅思
geography,n. 地理（学）,四级
geology,n. 地质学,四级
geometry,n. 几何（学）,四级
global,adj. 全球的；广泛的,雅思
global,a. 全球的；总的,四级
globe,n. 地球；世界；地球仪,四级
gloomy,α. 暗淡的,六级
gradual,adj. 逐渐的；渐进的,雅思
grand,a. 宏伟大；壮丽的；重大的,四级
grant,vt. 授予；同意；准予,四级
greasy,α. 油腻的,六级
grieve,v. 使伤心；使悲伤,六级
guarantee,n. 保修单,六级
guilt,n. 犯罪,六级
hamper,v. 妨碍；限制,六级
harmony,n. 与……协调一致；和谐,六级
haul,v. 拖；拉,六级
hence,ad. 因此；所以；今后；从此,四级
herd,n. 兽群；牧群,四级
hierarchical,adj.分等级的,雅思
hierarchy,n.层次；层级,雅思
highlight,vt. 强调；突出,四级
hinder,v. 阻碍；妨碍,雅思
hinder,v. 阻碍；妨害,六级
hoist,v. 举起；升起；吊起,六级
hollow,a. 空的；中空的；空虚道,四级
hook,n. 钩 vt. 钩住,四级
hospitality,n. 友好款待；好客,六级
humble,a. 谦逊的；谦虚的,四级
humor,n. 情绪；心境,六级
identical,α. 相同的；一样的,六级
identify,v. 识别；认出,雅思
identify,vt. 认出；鉴定,四级
identify,v. 认出；确认,六级
identity,n. 身份；个性；特性,四级
idle,a. 懒散的；无所事事的,四级
ignite,v. 引燃,六级
illegal,a. 不合法的；非法的,四级
illusion,n. 错觉；假象,六级
illusion,n. 错觉,四级
illustrate,v. 举例说明；阐明,雅思
imaginative,α. 富有想象力的；爱想象的,六级
immerse,v. 使浸没,六级
impact,n. 影响；作用,雅思
import,n. 进口（物） v. 进口；输入,四级
impose,v. 把……强加于,六级
impose,v. 强加；施加,雅思
impose,vt. 把...加强(on)；采用；利用,四级
improve,v. 改善；改进,雅思
inaccessible,α. 不可接近的；难以达到的,六级
inadequate,α. 不充分的；不适当的,六级
incentive,n.动机 adj.激励的,雅思
increasingly,ad. 日益；越来越多地,六级
incredible,α. 难以置信的,六级
indicate,vt. 指示； 象征,雅思
indicate,v. 指示；表明,雅思
indication,n.指示； 暗示,雅思
indicator,n.指示器,雅思
indifference,n. 不关心；冷漠,六级
indigenous,adj.本土的,雅思
indignant,α. 生气的；愤怒的,六级
individual,a. 个别的；单独的 n. 个人；个体,四级
induce,v. 劝诱；诱导,六级
indulge,v. 纵容；放任,六级
inevitable,a. 不可避免的,四级
inevitably,ad. 必然地；不可避免地,六级
infectious,α. 传染的；传染性的,六级
infer,v. 推论；推断,四级
inferior,α. 较次的；较劣的,六级
inferior,α. 地位较低的；较差的,六级
influence,n. 影响；作用,雅思
inform,v.(～ of/about) 通知； 获悉,雅思
informant,n.通知的人；被调查的人,雅思
information,n.通知； 信息,雅思
informative,adj.提供情报的； 见闻广博的,雅思
ingredient,n. 成分,六级
inherent,α. 固有的；生来的,六级
initial,adj.最初的； 词首的 n.词首大写字母,雅思
initially,adv.最初； 开头,雅思
initiative,n.主动,雅思
insight,n. 理解；洞察力,六级
insignificant,a. 无意义的；无足轻重的；无价值的,四级
inspection,n. 检查；视察,六级
inspirational,α. 灵感的,六级
inspire,v. 激励；启发,雅思
instinct,n. 本能；直觉,六级
insurance,n. 保险；保险费,四级
insure,vt. 给...保险；保证；确保,四级
integrate,v. (into with)（使）成为一体；（使）合并,四级
integrate,v. 合并；整合,雅思
integrity,n. 正直；诚实,六级
intend,v. 意欲,六级
intent,α. 专心的；专注的,六级
intentionally,ad. 有意地；故意地,六级
interfere,v. 干涉；干扰；妨碍,四级
interfere,v. 妨碍；干涉,雅思
internal,a. 内部的；国内的,四级
interpret,v. 解释；说明,六级
interpret,v. 解释；翻译,雅思
intricate,α. 复杂精细的,六级
intrinsic,α. 固有的；本质的；内在的,六级
intuition,n. 直觉,六级
invade,v. 侵入；侵略；侵袭,四级
invest,v. 投资；投入,雅思
involve,v. 涉及；包含,雅思
irreplaceable,α. 不能替换的；不能代替的,六级
isolate,vt. 使隔离；使孤立,四级
issue,n. 问题；争论点；发行；（报刊）一期,四级
jeopardize,v. 危及；损坏,六级
justify,v. 证明……是正当的；为……辩护,雅思
large/small-scale,大/小规模,雅思
larva,n.幼虫,雅思
larvae,n. larva的复数,雅思
lava,n.熔岩； 火山岩,雅思
layer,n.层； 阶层,雅思
lease,n. 租约；契约,六级
legislation,n. 立法；法律,六级
liberal,a. 慷慨的；丰富的；自由的,四级
likelihood,n. 可能；可能性,四级
limitation,n. 局限性；缺点,六级
linger,v. 逗留；徘徊；留恋；迟缓；拖延,六级
literal,α. 文字的；字面的；逐字逐句的,六级
locate,v. 位于,六级
loyalty,n. 忠诚；忠心,六级
luxury,n. 奢侈；豪华,六级
magnify,v. 放大,六级
mainland,n. 大陆,四级
maintain,v. 维持；保持,雅思
maintain,vt. 维持；保持；坚持；主张,四级
manifestation,n. 表现(形式),六级
manipulate,v. 操控；操作,雅思
marvelous,a. 奇迹般的；惊人的,四级
massive,α. 大规模的；大量的,六级
massive,a. 大的；大量的；大块的,四级
mature,a. 成熟的,四级
maximum,a. 最高的；最大的 n.,四级
mean,v. 打算；意欲,六级
measurable,adj. 可测量的,雅思
mechanism,n. 机械装置,六级
media,n. 新闻传媒,四级
medium,a. 中等的；适中的; n. 媒介物；新闻媒介,四级
melt,v.(使)融化； (使)熔化； 使感动,雅思
merciful,α. 仁慈的；宽大的,六级
mild,a. 温暖的；暖和的；温柔的；味淡的,四级
mingle,v. 混合起来；相混合,六级
minimize,v. 对……做最低估计,六级
minimum,a. 最低的；最小的 n.,四级
minority,n. 少数,六级
misfortune,n. 不幸；灾难,六级
mixture,n. 混合；混合物,四级
mobile,α. 活动的；流动的,六级
modify,v. 修改；更改,雅思
moist,a. 潮湿,四级
moisture,n. 潮湿,四级
monitor,v. 检测；监测,六级
monitor,v. 监控；监测,雅思
mood,n. 心情；情绪；语气,四级
moral,a. 道德上的；有道德的,四级
morality,n. 道德；美德,六级
motivate,v. 激励；驱动,雅思
naive,α. 言行自然而天真的；质朴的,六级
naval,a. 海军的,四级
navigation,n. 航行,四级
necessity,n. 必需品；必要性,四级
negative,n.否定； 负数 adj.否定的； 消极的； 负的 vt.否定； 拒绝(接受),雅思
neglect,v. 忽视,六级
neglect,v. 忽视；疏忽,雅思
negligible,α. 可忽略的；微不足道的,六级
network,n. 网状物；广播网；电视网；网络,四级
neutral,a. 中立的；中性的,四级
nevertheless,ad. 仍然；然而；不过,四级
nonsense,n. 胡说；冒失的行动,四级
notion,n. 概念；观念；理解,六级
notorious,α. 臭名昭著的；声名狼藉的,六级
nuclear,a. 核子的；核能的,四级
nucleus,n. 核,四级
nuisance,n. 损害；妨害；讨厌（的人或事物）,四级
obedient,α. 服从的；顺从的,六级
obligation,n (法律上或道义上的)责任,六级
oblige,v. 迫使；责成；使感激,四级
obscure,a. 阴暗；模糊,四级
obscure,α. 模糊不清的,六级
obstacle,n. 障碍（物）；妨碍,四级
obtain,v. 获得；得到,雅思
occasion,n. 场合,六级
occupy,v. 占领；使忙碌,六级
odd,a. 奇特的；古怪的；奇数的,四级
offend,v. 冒犯；触犯,四级
omit,vt. 省略,四级
opponent,n. 敌人；对手,六级
opponent,n. 敌手；对手,四级
opportunity,n. 机会；时机,四级
oppose,v. 反对；抵制,雅思
oppress,v. 压迫,六级
optics,n. （单、复数同形）光学,四级
optimistic,α. 乐观的,六级
optimistic,a. 乐观,四级
optimistically,ad. 乐观地,六级
optimize,v. 优化；改进,雅思
optional,a. 可以任选的；非强制的,四级
oral,a. 口头的；口述的；口的,四级
orchestra,n. 管弦乐队,四级
ordinary,adj.普通的,雅思
organ,n. 器官；风琴,四级
orient,vt. 使适应；(to toward)使朝向 n. 东方,四级
original,α. 原先的；最早的,六级
originate,v. 首创；起源,六级
ornament,n. 装饰；装饰品,六级
outstanding,a. 杰出的；突出的；显著的,四级
outwardly,ad. 表面上；外表上地,六级
overcome,v. 克服；战胜,雅思
overlap,v. 部分重叠,六级
overwhelm,v. 压倒；浸没；使不安,六级
oxygen,n.氧,雅思
parade,v. 游行,六级
participate,v. 参与；参加,雅思
participation,n. 参加；加入,六级
pastime,n. 消遣；娱乐,六级
pathetic,α. 悲哀的；悲惨的,六级
pattern,n. 模式,六级
penalty,n. 制裁；惩罚,六级
pension,n. 养老金,六级
permeate,v. 渗入；渗透,六级
persistent,α. 坚持不懈的,六级
personal,a. 个人的；私人的；亲自的,四级
personality,n. 人格；人性,六级
personnel,n. [总称]人员；员工；人事部门,四级
persuade,v. 说服；劝服,雅思
petrol,n. 汽油,四级
petroleum,n. 石油,四级
pledge,n. 保证；誓言,六级
portable,a. 手提式的,四级
portion,n. 一部分,四级
position,n. 位置；职位；职务,六级
positive,n.确实；正数 adj.明确的；有益的；乐观的,雅思
potential,α. 可能的；潜在的,六级
poverty,n. 贫穷,四级
precaution,n. 预防；防备；警惕,四级
predecessor,n. 前任；原有的事物,六级
preliminary,adj. 初步的；预备的,雅思
premise,n. 前提；假设,六级
prescribe,v. 处方；开药,六级
prescription,n. 处方,六级
preservation,n. 保护；防护,六级
preserve,v. 保护；保存；保持；维持,四级
preside,v. 主持,六级
prestige,n. 威信；威望,六级
presumably,ad. 大概；可能；据推测,六级
prevalent,α. 普遍的；流行的,六级
previous,a. 先；前；以前的,四级
primitive,α. 原始的；早期的,六级
principal,a. 最重要的; n. 负责人；校长,四级
principle,n. 原则；原理,四级
prior,a. 优先的；在前的,四级
priority,n. 优先；重点,四级
priority,n. 优先(权),六级
private,a. 私人的；个人的,四级
professional,a. 职业的；专门的,四级
proficient,α. 熟练的；精通的,六级
profit,n. 利润；益处； v. 有益于；有利于,四级
profitable,a. 有利可图的,四级
profound,α. 深刻的；深远的,六级
prohibit,vt. 禁止；不准,四级
prolong,v. 延长；拖延,六级
prominent,a. 突出的,四级
prominent,α. 突出的；杰出的,六级
promise,v. 许诺,六级
promote,v. 促进；提升,雅思
promote,vt. 促进；提升,四级
prompt,vt. 促使; a. 敏捷的；及时的,四级
prompt,α. 即刻的；迅速的,六级
propel,v. 推进；推动,六级
prospect,n. 前景；前途；景象,四级
prospect,n. 前景；可能性,六级
prosperity,n. 兴旺；繁荣,四级
protest,v. 抗议；反对,六级
prove,v. 证明；证实,雅思
provide,v.提供,雅思
provided,conj.倘若,雅思
provision,n. [pl.] 给养；口粮；准备；设备；装置,四级
provision,n.供应； (一批)供应品； 预备； 规定,雅思
provisional,adj.临时的；雅思,
provoke,v. 引起；激起,六级
purchase,v. 购买,雅思
purchase,vt.购买 n.购买,雅思
pursue,vt. 追逐；追求；从事；进行,四级
racial,a. 人种的种族的,四级
radiate,v. 辐射状发出；从中心向各方伸展出,六级
radiation,n. 放射物；辐射,四级
radical,a.根本的；激进的,四级
range,n. 幅度；范围 v. （在某范围内）变动,四级
rate,n. 速度,六级
ration,n. 比率,六级
raw,α. 自然状态的；未加工的,六级
recession,n. (经济)衰退；不景气；撤退；退出,六级
recognize,v. 认出；识别,雅思
reconcile,v. 使和好；调解,六级
reduce,v. 减少；缩小,雅思
refine,v. 提炼；改进,雅思
reflect,v. 反射；反映,雅思
reflection,n. 反映；表现,六级
refresh,v. 提神；使清新,六级
refute,v. 证明……不对(是错误的)；驳诉,六级
region,n. 地区；范围；幅度,四级
